team,team_tm_major,team_tm_minor,KBO_ID,TM_ID,NAME,POS,BackNum,engName,Birthday,Height,Weight,PitcherThrows,BatterSide,프로필변동,plyer_info_2022,팀변경
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
KT,KT_WIZ,MIN_KTW,53006,53006,강건,P,106,"Kang, Gun",20040712,183,85,Right,Right,O,X,
KIA,KIA_TIG,MIN_KIA,52659,52659,강병우,P,15,"Kang, Byeong Woo",20031212,182,88,Left,Left,X,,
KIA,KIA_TIG,MIN_KIA,67604,67604,강이준,P,36,"Kang, Yi Jun",19980407,190,86,Right,Right,X,,
KIA,KIA_TIG,MIN_KIA,63628,63628,고영창,P,60,"Koh, Young Chang",19890224,189,100,Right,Right,X,,
KIA,KIA_TIG,MIN_KIA,61353,61353,고종욱,OF,57,"Ko, Jong Wook",19890111,184,83,Right,Left,X,,
KIA,KIA_TIG,MIN_KIA,53609,53609,곽도규,P,9,"Kwak, Do Gyu",20040412,185,90,Left,Left,O,X,
KIA,KIA_TIG,MIN_KIA,76225,76225,김건국,P,29,"Kim, Kun Kuk",19880202,183,86,Right,Right,O,X,
KIA,KIA_TIG,MIN_KIA,66614,66614,김규성,IF,14,"Kim, Kyu Sung",19970308,183,73,Right,Left,X,,
KIA,KIA_TIG,MIN_KIA,69620,69620,김기훈,P,53,"Kim, Ki Hoon",20000103,184,84,Left,Left,X,,
KIA,KIA_TIG,MIN_KIA,60337,60337,김대유,P,69,"Kim, Dae Yu",19910508,187,92,Left,Left,O,,team change
KIA,KIA_TIG,MIN_KIA,52605,52605,김도영,IF,5,"Kim, Do Young",20031002,183,85,Right,Right,X,,
KIA,KIA_TIG,MIN_KIA,53618,53618,김도월,IF,18,"Kim, Do Wol",20040403,188,80,Right,Right,O,X,
KIA,KIA_TIG,MIN_KIA,69627,69627,김민수,OF,4,"Kim, Min Soo",20000405,186,87,Right,Left,X,,
KIA,KIA_TIG,MIN_KIA,67610,67610,김석환,OF,35,"Kim, Seok Hwan",19990228,187,97,Left,Left,X,,
KIA,KIA_TIG,MIN_KIA,78603,78603,김선빈,IF,3,"Kim, Sun Bin",19891218,165,77,Right,Right,X,,
KIA,KIA_TIG,MIN_KIA,51604,51604,김선우,C,42,"Kim, Sun Woo",20010118,178,80,Right,Right,X,,
KIA,KIA_TIG,MIN_KIA,53637,53637,김세일,P,37,"Kim, Sae Il",20030302,188,91,Left,Left,O,X,
