team,team_tm_major,team_tm_minor,KBO_ID,TM_ID,NAME,POS,BackNum,engName,Birthday,Height,Weight,PitcherThrows,BatterSide
-,-,-,-,-,-,-,-,-,-,0,-,-,-
KT,KT_WIZ,MIN_KTW,53006,53006,강건,P,99,"Kang, Gun",20040712,183,85,Right,Right
KIA,KIA_TIG,MIN_KIA,54607,54607,강동훈,P,34,"Kang, Dong Hoon",20001123,185,98,Right,Right
KIA,KIA_TIG,MIN_KIA,54613,54613,강민제,IF,38,"Kang, Min Je",20050210,181,82,Right,Right
KIA,KIA_TIG,MIN_KIA,67604,67604,강이준,P,36,"Kang, Yi Jun",19980407,190,86,Right,Right
KIA,KIA_TIG,MIN_KIA,68069,68069,고명성,IF,2,"Go, Myeong Seong",19990416,178,68,Right,Right
KIA,KIA_TIG,MIN_KIA,61353,61353,고종욱,OF,57,"Ko, Jong Wook",19890111,184,83,Right,Left
KIA,KIA_TIG,MIN_KIA,53609,53609,곽도규,P,0,"Kwak, Do Gyu",20040412,185,90,Left,Left
KIA,KIA_TIG,MIN_KIA,51640,51640,권혁경,C,20,"Kwon, Hyuk Kyung",20020123,187,94,Right,Right
KIA,KIA_TIG,MIN_KIA,76225,76225,김건국,P,43,"Kim, Keon Kuk",19880202,183,86,Right,Right
KIA,KIA_TIG,MIN_KIA,66614,66614,김규성,IF,14,"Kim, Kyu Sung",19970308,183,73,Right,Left
KIA,KIA_TIG,MIN_KIA,69620,69620,김기훈,P,53,"Kim, Ki Hoon",20000103,184,93,Left,Left
KIA,KIA_TIG,MIN_KIA,60337,60337,김대유,P,69,"Kim, Dae Yu",19910508,187,92,Left,Left
KIA,KIA_TIG,MIN_KIA,52605,52605,김도영,IF,5,"Kim, Do Young",20031002,183,85,Right,Right
KIA,KIA_TIG,MIN_KIA,53618,53618,김도월,IF,2,"Kim, Do Wol",20040403,188,80,Right,Right
KIA,KIA_TIG,MIN_KIA,69745,69745,김도현,P,45,"Kim, Do Hyeon",20000915,183,87,Right,Right
KIA,KIA_TIG,MIN_KIA,54614,54614,김두현,IF,40,"Kim, Doo Hyun",20030425,177,76,Right,Right
KIA,KIA_TIG,MIN_KIA,69627,69627,김민수,OF,4,"Kim, Min Soo",20000405,186,87,Right,Left
KIA,KIA_TIG,MIN_KIA,54608,54608,김민재,P,37,"Kim, Min Jae",20030708,188,85,Right,Right
KIA,KIA_TIG,MIN_KIA,54645,54645,김민주,P,45,"Kim, Min Ju",20020908,182,85,Right,Right
KIA,KIA_TIG,MIN_KIA,63894,63894,김사윤,P,21,"Kim, Sa Yoon",19940608,182,90,Left,Left
KIA,KIA_TIG,MIN_KIA,67610,67610,김석환,OF,35,"Kim, Seok Hwan",19990228,187,97,Left,Left
KIA,KIA_TIG,MIN_KIA,78603,78603,김선빈,IF,3,"Kim, Sun Bin",19891218,165,77,Right,Right
KIA,KIA_TIG,MIN_KIA,66492,66492,김승현,P,24,"Kim, Seung Hyun",19920709,180,105,Right,Right
KIA,KIA_TIG,MIN_KIA,51666,51666,김원경,IF,7,"Kim, Won Gyeong",20010501,182,83,Right,Right
KIA,KIA_TIG,MIN_KIA,68659,68659,김유신,P,49,"Kim, Yu Sin",19990614,187,100,Left,Left
KIA,KIA_TIG,MIN_KIA,53619,53619,김재현,IF,10,"Kim, Jae Hyun",20001202,176,81,Right,Left
KIA,KIA_TIG,MIN_KIA,52661,52661,김찬민,P,38,"Kim, Chan Min",20030913,184,85,Right,Right
KIA,KIA_TIG,MIN_KIA,78122,78122,김태군,C,42,"Kim, Tae Gun",19891230,182,92,Right,Right
KIA,KIA_TIG,MIN_KIA,54609,54609,김태윤,P,33,"Kim, Tae Yoon",20041007,180,94,Right,Right
KIA,KIA_TIG,MIN_KIA,69516,69516,김현수,P,32,"Kim, Hyeon Su",20000710,185,90,Right,Right
KIA,KIA_TIG,MIN_KIA,65653,65653,김호령,OF,27,"Kim, Ho Ryung",19920430,178,85,Right,Right
KIA,KIA_TIG,MIN_KIA,62947,62947,나성범,OF,47,"Na, Sung Bum",19891003,183,100,Left,Left
KIA,KIA_TIG,MIN_KIA,54640,664942,네일,P,40,"Naile, James",19930208,193,83,Right,Right
KIA,KIA_TIG,MIN_KIA,51645,51645,박건우,P,3,"Park, Gun Woo",19980603,193,97,Right,Right
KIA,KIA_TIG,MIN_KIA,50657,50657,박민,IF,37,"Park, Min",20010605,184,84,Right,Right
KIA,KIA_TIG,MIN_KIA,67609,67609,박정우,OF,15,"Park, Jeong Woo",19980201,175,68,Left,Left
KIA,KIA_TIG,MIN_KIA,63638,63638,박준표,P,31,"Park, Jun Pyo",19920626,181,93,Right,Right
KIA,KIA_TIG,MIN_KIA,64646,64646,박찬호,IF,1,"Park, Chan Ho",19950605,178,72,Right,Right
KIA,KIA_TIG,MIN_KIA,69727,69727,변우혁,IF,29,"Byun, Woo Hyuk",20000318,185,95,Right,Right
KIA,KIA_TIG,MIN_KIA,78168,78168,서건창,IF,58,"Seo, Geon Chang",19890822,176,84,Right,Left
KIA,KIA_TIG,MIN_KIA,54610,54610,성영탁,P,39,"Sung, Young Tak",20040728,180,89,Right,Right
KIA,KIA_TIG,MIN_KIA,52630,593647,소크라테스,OF,30,"Brito, Socrates",19920906,188,93,Left,Left
KIA,KIA_TIG,MIN_KIA,77637,77637,양현종,P,54,"Yang, Hyeon Jong",19880301,183,91,Left,Left
KIA,KIA_TIG,MIN_KIA,50622,50622,오규석,P,22,"Oh, Kyu Seok",20011204,187,97,Right,Right
KIA,KIA_TIG,MIN_KIA,69636,69636,오선우,IF,56,"Oh, Sun Woo",19961213,186,95,Left,Left
KIA,KIA_TIG,MIN_KIA,68614,68614,오정환,IF,9,"Oh, Jeong Hwan",19990327,185,75,Right,Left
KIA,KIA_TIG,MIN_KIA,67640,67640,유승철,P,10,"Yoo, Seung Cheol",19980302,184,87,Right,Switch
KIA,KIA_TIG,MIN_KIA,50604,50604,유지성,P,4,"You, Ji Sung",20001115,189,94,Left,Left
KIA,KIA_TIG,MIN_KIA,52667,52667,윤도현,IF,11,"Yoon, Do Hyun",20030507,181,84,Right,Right
KIA,KIA_TIG,MIN_KIA,53613,53613,윤영철,P,13,"Yoon, Young Cheol",20040420,187,87,Left,Left
KIA,KIA_TIG,MIN_KIA,68619,68619,윤중현,P,19,"Yoon, Joong Hyun",19950425,180,84,Right,Right
KIA,KIA_TIG,MIN_KIA,53615,53615,이도현,P,15,"Lee, Do Hyun",20050107,188,90,Right,Right
KIA,KIA_TIG,MIN_KIA,54644,54644,이상준,C,44,"Lee, Sang Jun",20051213,182,105,Right,Right
KIA,KIA_TIG,MIN_KIA,52647,52647,이성주,C,6,"Lee, Sung Joo",20030328,183,98,Right,Right
KIA,KIA_TIG,MIN_KIA,53663,53663,이송찬,P,63,"Lee, Song Chan",20040808,187,85,Right,Right
KIA,KIA_TIG,MIN_KIA,63260,63260,이우성,OF,25,"Lee, Woo Sung",19940717,182,95,Right,Right
KIA,KIA_TIG,MIN_KIA,51648,51648,이의리,P,48,"Lee, Eui Lee",20020616,185,90,Left,Left
KIA,KIA_TIG,MIN_KIA,65665,65665,이준영,P,20,"Lee, Jun Young",19920810,177,85,Left,Left
KIA,KIA_TIG,MIN_KIA,64560,64560,이창진,OF,8,"Lee, Chang Jin",19910304,173,85,Right,Right
KIA,KIA_TIG,MIN_KIA,62951,62951,이형범,P,33,"Lee, Hyeong Beom",19940227,181,80,Right,Right
KIA,KIA_TIG,MIN_KIA,62754,62754,임기영,P,17,"Im, Gi Yeong",19930416,184,86,Right,Right
KIA,KIA_TIG,MIN_KIA,66833,66833,임석진,IF,28,"Im, Suk Jin",19971010,180,98,Right,Right
KIA,KIA_TIG,MIN_KIA,51665,51665,장민기,P,46,"Jang, Min Gi",20011230,182,88,Left,Left
KIA,KIA_TIG,MIN_KIA,51603,51603,장시현,IF,1,"Jang, Si Hyun",20011221,178,75,Right,Right
KIA,KIA_TIG,MIN_KIA,63950,63950,장현식,P,50,"Jang, Hyun Sik",19950224,181,91,Right,Right
KIA,KIA_TIG,MIN_KIA,66609,66609,전상현,P,51,"Jeon, Sang Hyun",19960418,182,84,Right,Right
KIA,KIA_TIG,MIN_KIA,50662,50662,정해영,P,62,"Jung, Hai Young",20010823,189,98,Right,Right
KIA,KIA_TIG,MIN_KIA,53659,53659,정해원,IF,59,"Jung, Hae Won",20040521,185,87,Right,Right
KIA,KIA_TIG,MIN_KIA,54667,54667,조대현,P,67,"Cho, Dae Hyun",20050219,192,85,Right,Right
